IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1182026.666667 0.000000 118666.666667 1063360.000000 55562.000000 1018734.621333 107730.045333
1 156 1112006.666667 0.000000 121366.666667 990640.000000 51598.350000 959073.348333 101334.968333
61 157 1165948.994711 0.000000 119556.666667 1046392.328044 86414.994158 1000586.775975 78947.224579
61 156 1100901.275423 0.000000 122276.916667 978624.358756 80106.591503 946809.950486 73984.733434
121 157 985007.184018 0.000000 85188.674166 899818.509852 103587.222322 978925.543581 -97505.581885
121 156 918105.437124 0.000000 84330.068325 833775.368798 96348.031262 926787.428879 -105030.023018
181 157 829632.554640 0.000000 22809.377055 806823.177585 122483.917356 956856.332409 -249707.695126
181 156 757728.319999 0.000000 18361.721435 739366.598563 114263.495895 907042.285286 -263577.461183
241 157 751262.120063 0.000000 4223.345392 747038.774670 142024.711407 934254.874222 -325017.465567
241 156 688905.288449 0.000000 3127.901814 685777.386635 132884.681687 886684.832719 -330664.225957
301 157 715221.687055 0.000000 3012.627486 712209.059569 160836.384427 913082.523782 -358697.221154
301 156 657266.915459 0.000000 3451.906454 653815.009005 150717.030811 867459.464830 -360909.580182
361 157 674119.634655 0.000000 5333.741860 668785.892795 178930.883747 894779.430171 -399590.679263
361 156 620200.205113 0.000000 4576.221757 615623.983356 167735.470398 849382.154388 -396917.419674
421 157 559579.415955 0.000000 12948.336870 546631.079085 203064.351100 916393.600621 -559878.535765
421 156 514509.321467 0.000000 10614.876965 503894.444502 190205.989002 869338.410217 -545035.077752
481 157 264149.048633 0.000000 18334.094030 245814.954603 226351.055541 928827.478709 -891029.485617
481 156 248552.091640 0.000000 17519.806512 231032.285129 212061.156786 883633.090678 -847142.155823
541 157 105832.677601 0.000000 23622.386107 82210.291494 254421.620810 933251.133079 -1081840.076289
541 156 107863.062771 0.000000 22528.340737 85334.722035 238733.819939 888459.162447 -1019329.919615
601 157 78117.201905 0.000000 23622.386107 54494.815798 287182.601677 933203.179632 -1142268.579404
601 156 81864.566214 0.000000 22528.340737 59336.225477 270093.273544 889306.164436 -1077534.871766
