IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1182060.000000 0.000000 118700.000000 1063360.000000 55562.350000 1018764.591000 107733.059000
1 156 1111973.333333 0.000000 121333.333333 990640.000000 51598.000000 959043.378667 101331.954667
61 157 1163098.817454 0.000000 119590.250000 1043508.567454 86757.770234 999905.773108 76435.274111
61 156 1101663.765462 0.000000 122243.333333 979420.432129 78384.020757 947740.089135 75539.655570
121 157 973758.041983 0.000000 88122.666667 885635.375316 104628.068880 977054.209066 -107924.235963
121 156 892734.068510 0.000000 74617.965203 818116.103307 95634.608538 926307.960281 -129208.500309
181 157 814831.428775 0.000000 27196.047887 787635.380888 123035.942555 956038.232620 -264242.746400
181 156 749081.915830 0.000000 16034.045455 733047.870375 113335.714993 909282.051774 -273535.850936
241 157 709987.926973 0.000000 7307.111399 702680.815574 143672.932856 933326.837986 -367011.843869
241 156 652556.451542 0.000000 5147.474967 647408.976574 133236.343069 887667.849773 -368347.741300
301 157 675308.316712 0.000000 5929.649255 669378.667457 163474.488455 911850.833869 -400017.005612
301 156 625977.819534 0.000000 5455.547895 620522.271638 152099.038581 867105.839875 -393227.058922
361 157 641419.894888 0.000000 6332.355328 635087.539560 182089.365910 892162.609747 -432832.080769
361 156 603786.939168 0.000000 6415.680635 597371.258534 169650.549404 848613.744008 -414477.354243
421 157 555350.934071 0.000000 11606.288651 543744.645420 205950.164491 912404.863733 -563004.094154
421 156 519269.146350 0.000000 12962.487624 506306.658726 191990.878144 869237.871336 -541959.603129
481 157 322093.341425 0.000000 16942.037480 305151.303945 227200.840066 928093.863926 -833201.362568
481 156 305969.033061 0.000000 16422.138843 289546.894218 210967.500726 883259.795786 -788258.263451
541 157 113042.905581 0.000000 23885.581026 89157.324555 258876.316533 933737.544373 -1079570.955326
541 156 110246.618844 0.000000 24209.806127 86036.812718 239747.783788 890887.562496 -1020388.727440
601 157 77067.452602 0.000000 23885.581026 53181.871577 286836.343825 933150.483089 -1142919.374312
601 156 75473.362048 0.000000 24209.806127 51263.555921 265978.230432 891299.336448 -1081804.204832
661 157 75492.454880 0.000000 23885.581026 51606.873855 331714.697892 932879.038719 -1189101.281731
