IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1184926.666667 0.000000 121566.666667 1063360.000000 55592.450000 1021341.982333 107992.234333
1 156 1109106.666667 0.000000 118466.666667 990640.000000 51567.900000 956465.987333 101072.779333
61 157 1172548.436004 0.000000 122478.416667 1050070.019337 85627.085663 1006977.040247 79944.310094
61 156 1093280.583253 0.000000 119355.166667 973925.416587 80011.502316 940038.384034 73230.696903
121 157 958882.784555 0.000000 82077.390674 876805.393881 103695.004835 984194.138544 -129006.358824
121 156 886125.121087 0.000000 81984.032406 804141.088681 96965.995628 919062.769708 -129903.644249
181 157 799671.494265 0.000000 14766.992199 784904.502065 122716.685146 962658.914950 -285704.105831
181 156 747054.240273 0.000000 19170.754146 727883.486127 114834.989817 901037.460646 -268818.210190
241 157 700740.453497 0.000000 2468.832310 698271.621187 143855.201649 939549.235174 -382663.983326
241 156 662158.041197 0.000000 5189.032322 656969.008875 134381.847798 880359.090657 -352582.897257
301 157 657107.746666 0.000000 2470.422707 654637.323959 164510.282235 917387.602491 -424790.138060
301 156 620090.984425 0.000000 5541.587252 614549.397174 153463.035181 860229.637480 -393601.688236
361 157 616840.992547 0.000000 3222.420678 613618.571869 184128.126325 896600.908698 -463888.042476
361 156 578777.769572 0.000000 8163.851133 570613.918439 171712.129513 842799.457161 -435733.817102
421 157 515845.346430 0.000000 10371.581925 505473.764506 210427.359461 916183.971211 -610765.984242
421 156 465826.786638 0.000000 14919.109577 450907.677060 196332.691179 861352.505208 -591858.409749
481 157 197309.842956 0.000000 18873.685902 178436.157054 239493.510770 927906.752799 -970090.420612
481 156 187645.765294 0.000000 20549.404720 167096.360574 221754.837736 870583.679403 -904692.751845
541 157 71579.825706 0.000000 23359.520614 48220.305092 268521.928206 930672.448235 -1127614.550735
541 156 70803.526967 0.000000 23150.040381 47653.486586 247966.506407 871903.947736 -1049066.927176
601 157 53475.491755 0.000000 23359.520614 30115.971141 306918.911707 929431.680811 -1182875.100763
601 156 54803.179878 0.000000 23150.040381 31653.139496 283822.399469 870993.747684 -1100012.967275
661 157 53266.239646 0.000000 23359.520614 29906.719032 353412.099336 928325.346973 -1228471.206663
661 156 54425.306007 0.000000 23150.040381 31275.265626 326994.530826 870096.137621 -1142665.362439
721 157 52186.949966 0.000000 23359.520614 28827.429351 399928.193383 927226.446528 -1274967.689945
721 156 53137.687222 0.000000 23150.040381 29987.646841 370442.930590 869130.648338 -1186435.891706
781 157 52058.739823 0.000000 23359.520614 28699.219209 446513.219448 926020.660243 -1320475.139869
781 156 52730.314512 0.000000 23150.040381 29580.274131 413780.986665 868194.340408 -1229245.012560
841 157 51681.392145 0.000000 23359.520614 28321.871530 493061.141946 883127.873252 -1324507.623054
841 156 52685.759334 0.000000 23150.040381 29535.718953 457302.599750 828104.238444 -1232721.078859
901 157 51481.341821 0.000000 23359.520614 28121.821207 541089.091049 839051.236711 -1328658.985939
901 156 52312.790748 0.000000 23150.040381 29162.750366 502268.402757 786881.972944 -1236837.584953
961 157 51360.561671 0.000000 23359.520614 28001.041057 589201.253773 794750.190436 -1332590.882538
961 156 52023.201320 0.000000 23150.040381 28873.160938 547118.654600 745572.292065 -1240667.745345
1021 157 48059.109388 0.000000 23359.520614 24699.588773 638167.865838 749295.342754 -1339404.099205
