IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1182526.666667 0.000000 119166.666667 1063360.000000 55567.250000 1019184.166333 107775.250333
1 156 1111506.666667 0.000000 120866.666667 990640.000000 51593.100000 958623.803333 101289.763333
61 157 1170387.433708 0.000000 120060.416667 1050327.017042 86413.373558 1003097.024714 80877.035436
61 156 1101643.984940 0.000000 121773.166667 979870.818273 79697.529398 946155.614047 75790.841494
121 157 979786.288473 0.000000 95779.390674 884006.897800 103872.688295 980822.550058 -104908.949879
121 156 896340.323511 0.000000 90305.668633 806034.654877 96587.176679 925026.101094 -125272.954262
181 157 830276.199449 0.000000 22739.061215 807537.138233 122326.657906 960541.525887 -252591.984344
181 156 749801.346217 0.000000 22860.150566 726941.195651 114341.692996 907092.774135 -271633.120913
241 157 726962.901953 0.000000 4583.274518 722379.627436 142987.503779 937674.271412 -353698.873238
241 156 648262.981711 0.000000 5842.179350 642420.802361 134449.421354 885324.771833 -371511.211475
301 157 694432.409543 0.000000 2992.710086 691439.699457 162834.049835 915663.417793 -384065.058085
301 156 618468.821070 0.000000 4674.725444 613794.095625 153812.770784 864360.335156 -399704.284870
361 157 659461.423966 0.000000 5120.100777 654341.323188 181407.261801 896877.196479 -418823.034315
361 156 586162.776004 0.000000 6752.052135 579410.723869 171768.208697 846640.762689 -432246.195382
421 157 515904.125198 0.000000 13314.527632 502589.597565 210157.621660 914768.366826 -609021.863289
421 156 461365.265427 0.000000 15764.359398 445600.906028 198931.821647 865124.872965 -602691.429185
481 157 211412.992557 0.000000 19288.851031 192124.141526 235956.518372 924506.300429 -949049.826244
481 156 202438.628696 0.000000 19796.779869 182641.848827 223631.465654 873396.978187 -894589.815145
541 157 90910.943343 0.000000 22162.301028 68748.642315 267456.762068 925917.601127 -1102463.419851
541 156 93323.895037 0.000000 24109.596436 69214.298601 254652.536582 877091.844392 -1038420.485937
601 157 71748.696968 0.000000 22162.301028 49586.395939 305437.349234 924797.490057 -1158486.142324
601 156 76095.548284 0.000000 24109.596436 51985.951848 289171.607651 876877.525168 -1089953.584534
661 157 66329.160154 0.000000 22162.301028 44166.859125 350230.075292 923921.094029 -1207822.009167
661 156 71880.039486 0.000000 24109.596436 47770.443050 331026.836557 876734.823016 -1135881.620087
721 157 66236.768025 0.000000 22162.301028 44074.466996 396132.553718 923017.256958 -1252913.042652
721 156 71810.893002 0.000000 24109.596436 47701.296565 373742.092261 876589.535278 -1178520.734538
781 157 64663.334786 0.000000 22162.301028 42501.033757 441811.062723 922046.323532 -1299194.051470
781 156 70820.540647 0.000000 24109.596436 46710.944211 416142.102379 876499.333502 -1221820.895234
841 157 63805.199844 0.000000 22162.301028 41642.898816 487010.860158 879697.644068 -1302903.304382
841 156 70154.928156 0.000000 24109.596436 46045.331719 458560.619877 836876.591289 -1225282.283010
901 157 55796.669565 0.000000 22162.301028 33634.368537 533529.929708 836187.483493 -1313920.743636
901 156 62679.911774 0.000000 24109.596436 38570.315337 502279.534055 796214.352033 -1235813.974314
961 157 52942.112518 0.000000 22162.301028 30779.811489 581281.619797 791863.808044 -1320203.315324
961 156 60484.204649 0.000000 24109.596436 36374.608213 545673.764766 756145.444216 -1241335.004333
1021 157 52317.694297 0.000000 22162.301028 30155.393269 629323.838508 747373.695836 -1324379.840047
1021 156 57848.485492 0.000000 24109.596436 33738.889055 589142.033462 715831.228945 -1247124.776915
1081 157 51127.075767 0.000000 22162.301028 28964.774738 676361.241260 702856.440511 -1328090.606004
1081 156 56155.098374 0.000000 24109.596436 32045.501938 631606.176965 675033.635153 -1250484.713744
1141 157 50836.554212 0.000000 22162.301028 28674.253184 724483.146608 657694.835750 -1331341.428145
1141 156 55688.795326 0.000000 24109.596436 31579.198889 675285.522139 633973.816552 -1253570.543365
1201 157 50875.831480 0.000000 22330.079699 28545.751782 772195.184227 613048.226866 -1334367.579613
1201 156 55715.028377 0.000000 24277.375107 31437.653271 719792.207549 592375.452297 -1256452.631468
1261 157 50746.526945 0.000000 22330.079699 28416.447246 819951.591845 567965.607100 -1337170.672000
1261 156 55908.155439 0.000000 24612.932447 31295.222992 764326.522960 550708.615719 -1259126.983240
1321 157 50784.192926 0.000000 22497.858369 28286.334557 867355.092913 523178.259454 -1339749.159441
1321 156 55764.834971 0.000000 24612.932447 31151.902524 809091.731577 508265.736072 -1261592.632678
1381 157 50653.267032 0.000000 22497.858369 28155.408663 915232.483688 477524.677523 -1342103.894179
1381 156 55620.618750 0.000000 24612.932447 31007.686303 853455.050487 466012.531734 -1263846.963471
1441 157 51024.858862 0.000000 23001.194380 28023.664483 962946.820037 432309.218118 -1344231.179293
1441 156 55475.501178 0.000000 24612.932447 30862.568731 897884.417150 423482.013621 -1265890.929594
1501 157 50734.630548 0.000000 23001.194380 27733.436168 1010321.062980 386544.890570 -1346131.323002
1501 156 55171.815888 0.000000 24612.932447 30558.883441 942441.540754 380453.425244 -1267723.150110
1561 157 50769.768419 0.000000 23168.973050 27600.795369 1058164.004345 340410.223073 -1347804.459000
1561 156 54633.370499 0.000000 24612.932447 30020.438052 986274.703014 337701.778583 -1269343.111098
1621 157 50636.298615 0.000000 23168.973050 27467.325565 1105978.467564 293904.952546 -1349247.121495
1621 156 54332.029754 0.000000 24612.932447 29719.097307 1030552.637318 294531.086192 -1270751.693756
1681 157 50191.233520 0.000000 23168.973050 27022.260470 1153362.745887 247287.555366 -1350459.067733
1681 156 54186.691692 0.000000 24612.932447 29573.759245 1074911.824025 251221.173999 -1271946.306333
1741 157 49671.101863 0.000000 23168.973050 26502.128813 1200886.015402 200225.466613 -1351440.380152
1741 156 53731.223324 0.000000 24612.932447 29118.290877 1118947.864981 207709.283472 -1272925.925130
1801 157 49230.925422 0.000000 23168.973050 26061.952373 1248312.218014 153107.692939 -1352188.985531
1801 156 53124.101898 0.000000 24612.932447 28511.169451 1162818.332725 163997.241330 -1273691.472157
1861 157 48793.037759 0.000000 23168.973050 25624.064709 1295820.565977 105677.545419 -1352705.073637
1861 156 52520.745782 0.000000 24612.932447 27907.813335 1206816.602217 119946.390595 -1274242.247029
1921 157 48205.189668 0.000000 23168.973050 25036.216618 1343057.385288 58134.869430 -1352987.065050
1921 156 51768.919871 0.000000 24612.932447 27155.987424 1250598.393043 75747.696697 -1274577.169869
1981 157 47545.514534 0.000000 23168.973050 24376.541484 1390292.918360 10288.403129 -1353035.806956
1981 156 51401.224510 0.000000 24612.932447 26788.292063 1294898.532398 31197.052901 -1274694.360789
2041 157 84644.835123 37603.557131 23168.973050 23872.304942 1437493.320450 0.000000 -1352848.485327
2041 156 63854.630564 13573.049125 24612.932447 25668.648992 1338446.829256 0.000000 -1274592.198692
2101 157 132072.079173 85831.623032 23168.973050 23071.483091 1484685.420759 0.000000 -1352613.341586
2101 156 108332.411279 58411.506151 24612.932447 25307.972681 1382671.882418 0.000000 -1274339.471139
2161 157 178995.335005 133847.430232 23168.973050 21978.931723 1531379.469815 0.000000 -1352384.134811
2161 156 152006.998572 103265.188518 24612.932447 24128.877607 1426096.777070 0.000000 -1274089.778498
