IT_NO ID TOTAL_ASSETS LIQUIDITY LOANS MORTGAGES DEPOSITS CENTRALBANK_DEBT EQUITY
1 157 1183026.666667 0.000000 119666.666667 1063360.000000 55572.500000 1019633.711333 107820.455333
1 156 1111006.666667 0.000000 120366.666667 990640.000000 51587.850000 958174.258333 101244.558333
61 157 1173263.994962 0.000000 120564.166667 1052699.828295 87300.711507 1005920.440290 80042.843165
61 156 1096182.252173 0.000000 121269.416667 974912.835506 79985.083472 942928.498026 73268.670675
121 157 967188.996149 0.000000 87028.844016 880160.152134 104705.089665 983839.652278 -121355.745793
121 156 893815.050214 0.000000 85334.974007 808480.076207 96819.046534 921768.322493 -124772.318814
181 157 821481.043686 0.000000 24259.408117 797221.635569 123479.789434 962122.288921 -264121.034668
181 156 761892.288012 0.000000 23172.569079 738719.718933 114751.166389 902753.952540 -255612.830916
241 157 729206.677528 0.000000 3167.564691 726039.112837 143697.827731 939425.780613 -353916.930816
241 156 686247.570095 0.000000 5771.792382 680475.777712 133621.050061 881578.648406 -328952.128373
301 157 698158.358541 0.000000 2168.017514 695990.341027 163017.714045 917919.721599 -382779.077104
301 156 654823.162508 0.000000 4887.425634 649935.736874 151687.972750 861533.012321 -358397.822562
361 157 665432.520514 0.000000 4567.745741 660864.774772 181059.532358 899877.441006 -415504.452851
361 156 617671.161742 0.000000 5897.448589 611773.713153 168688.568939 843340.158614 -394357.565811
421 157 567711.789964 0.000000 10799.884797 556911.905167 202919.559341 922587.472662 -557795.242038
421 156 531008.110698 0.000000 11040.892988 519967.217710 189227.672683 864025.685371 -522245.247356
481 157 287324.638038 0.000000 16128.728528 271195.909510 225366.561376 936867.870443 -874909.793781
481 156 286066.821730 0.000000 19085.239562 266981.582168 210955.184854 880272.695912 -805161.059037
541 157 104011.625758 0.000000 22341.255473 81670.370284 252480.636868 942104.606568 -1090573.617679
541 156 105117.517597 0.000000 25627.591504 79489.926093 237333.340061 886530.062432 -1018745.884897
601 157 74235.960957 0.000000 22341.255473 51894.705484 284775.876762 941969.754423 -1152509.670228
601 156 76075.042841 0.000000 25627.591504 50447.451337 266419.443950 886922.270767 -1077266.671876
661 157 72328.903585 0.000000 21669.588807 50659.314779 329693.938747 942263.019079 -1199628.054240
661 156 73487.434635 0.000000 25627.591504 47859.843131 307573.005928 887595.564691 -1121681.135985
721 157 71205.677798 0.000000 21669.588807 49536.088992 374868.393456 942590.834678 -1246253.550335
721 156 73028.688770 0.000000 25627.591504 47401.097267 349834.365756 888310.339720 -1165116.016705
781 157 70497.416164 0.000000 21669.588807 48827.827358 420324.997961 942946.448925 -1292774.030722
781 156 72930.118545 0.000000 25627.591504 47302.527042 392198.812122 889049.240395 -1208317.933972
841 157 70395.391984 0.000000 21669.588807 48725.803178 466088.141783 900616.815735 -1296309.565534
841 156 72858.896697 0.000000 25627.591504 47231.305193 434397.020304 850012.848471 -1211550.972078
901 157 67434.527738 0.000000 21669.588807 45764.938931 513240.381257 857375.681676 -1303181.535195
901 156 70996.819305 0.000000 25627.591504 45369.227801 478363.724030 809704.992489 -1217071.897215
961 157 63219.747884 0.000000 21669.588807 41550.159077 559609.051324 814119.132630 -1310508.436071
961 156 67857.632229 0.000000 25627.591504 42230.040725 522151.742825 769092.121705 -1223386.232302
1021 157 62082.599082 0.000000 21669.588807 40413.010275 607712.831138 769485.600069 -1315115.832125
1021 156 66291.327814 0.000000 25627.591504 40663.736310 564952.750731 729514.160898 -1228175.583815
1081 157 60606.095997 0.000000 21669.588807 38936.507190 654693.376576 725689.959787 -1319777.240366
1081 156 62768.181161 0.000000 25627.591504 37140.589657 607923.197041 688710.750344 -1233865.766225
1141 157 59460.906473 0.000000 21669.588807 37791.317666 700535.831912 682009.203440 -1323084.128880
1141 156 61793.035714 0.000000 25627.591504 36165.444210 651467.406573 647309.430602 -1236983.801461
1201 157 59291.574986 0.000000 21669.588807 37621.986179 748071.877413 637396.415776 -1326176.718204
1201 156 60959.308501 0.000000 24955.924837 36003.383664 695050.424492 606481.280545 -1240572.396537
1261 157 59121.185177 0.000000 21669.588807 37451.596370 794768.615760 593399.871328 -1329047.301911
1261 156 60796.235077 0.000000 24955.924837 35840.310240 739802.764565 564279.667585 -1243286.197073
1321 157 59117.509102 0.000000 21837.367477 37280.141625 842530.411531 548286.065404 -1331698.967832
1321 156 60799.921114 0.000000 25123.703507 35676.217607 783900.062214 522689.867654 -1245790.008754
1381 157 59112.761435 0.000000 22005.146147 37107.615288 889834.976678 503403.291903 -1334125.507146
1381 156 60634.802901 0.000000 25123.703507 35511.099394 828094.590486 480626.480260 -1248086.267844
1441 157 58780.745438 0.000000 22005.146147 36775.599291 937169.527566 457939.631162 -1336328.413290
1441 156 59993.418588 0.000000 25123.703507 34869.715080 871937.463657 438230.854806 -1250174.899875
